Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create A New Booking,2000,225,196,247,286,643,144,6164,"0,000%","2,22284","2,08","1,03"
TOPLAM,2000,225,196,247,286,643,144,6164,"0,000%","2,22284","2,08","1,03"
1741144213921,211,Create A New Booking,200,OK,Create Booking 1-1,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,211,0,165
1741144214222,199,Create A New Booking,200,OK,Create Booking 1-2,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,199,0,153
1741144214523,211,Create A New Booking,200,OK,Create Booking 1-3,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,211,0,150
1741144214822,189,Create A New Booking,200,OK,Create Booking 1-4,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,189,0,135
1741144215120,173,Create A New Booking,200,OK,Create Booking 1-5,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,173,0,126
1741144215420,210,Create A New Booking,200,OK,Create Booking 1-6,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,210,0,162
1741144215723,205,Create A New Booking,200,OK,Create Booking 1-7,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,205,0,125
1741144216022,210,Create A New Booking,200,OK,Create Booking 1-8,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,210,0,156
1741144216320,213,Create A New Booking,200,OK,Create Booking 1-9,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,213,0,149
1741144216620,202,Create A New Booking,200,OK,Create Booking 1-10,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,202,0,159
1741144216919,172,Create A New Booking,200,OK,Create Booking 1-11,text,true,,956,475,1,1,https://restful-booker.herokuapp.com/booking,172,0,127
1741144217222,194,Create A New Booking,200,OK,Create Booking 1-12,text,true,,968,475,1,1,https://restful-booker.herokuapp.com/booking,194,0,130
1741144217535,181,Create A New Booking,200,OK,Create Booking 1-13,text,true,,968,475,1,1,https://restful-booker.herokuapp.com/booking,181,0,132
1741144217821,210,Create A New Booking,200,OK,Create Booking 1-14,text,true,,968,475,1,1,https://restful-booker.herokuapp.com/booking,210,0,161
1741144218123,173,Create A New Booking,200,OK,Create Booking 1-15,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,173,0,127
1741144218421,188,Create A New Booking,200,OK,Create Booking 1-16,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,188,0,148
1741144218724,187,Create A New Booking,200,OK,Create Booking 1-17,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,187,0,134
1741144219021,171,Create A New Booking,200,OK,Create Booking 1-18,text,true,,952,475,1,1,https://restful-booker.herokuapp.com/booking,171,0,128
1741144219322,268,Create A New Booking,200,OK,Create Booking 1-19,text,true,,964,475,1,1,https://restful-booker.herokuapp.com/booking,268,0,223
